Day of Week,Slot,Start Time,End Time
Tue,1,920,1010
Tue,2,1010,1100
Tue,3,1100,1150
Tue,4,1150,1240
Tue,5,1330,1420
Tue,6,1420,1510
Tue,7,1510,1600
Wed,1,920,1010
Wed,2,1010,1100
Wed,3,1100,1150
Wed,4,1150,1240
Wed,5,1330,1420
Wed,6,1420,1510
Wed,7,1510,1600
Thu,1,920,1010
Thu,2,1010,1100
Thu,3,1100,1150
Thu,4,1150,1240
Thu,5,1330,1420
Thu,6,1420,1510
Thu,7,1510,1600
Fri,1,920,1010
Fri,2,1010,1100
Fri,3,1100,1150
Fri,4,1150,1240
Fri,5,1330,1420
Fri,6,1420,1510
Fri,7,1510,1600
Sat,1,920,1010
Sat,2,1010,1100
Sat,3,1100,1150
Sat,4,1150,1240
Sat,5,1330,1420
Sat,6,1420,1510
Sat,7,1510,1600
